UF,MUN,COD_IBGE,num_mortes_prioridade,tipo,data_da_atualizacao,escolas_municipais_fechadas,Observações,escolas_estaduais_fechadas,Observações,universidades_fechadas,Observações,comercio_nao_essencial_fechado,Observações,espacos_publicos_fechados,Observações,transporte_publico_reduzido,Observações,igrejas_fechadas,Observações,eventos_de_grande_porte_cancelados,Observações,transporte_rodoviário_intermunicipal_cancelado,Observações,entrada_restrita_a_residentes,Observações,doentes_orientados_a_ficar_em_casa,Observações,distribuicao_merenda_escolar,Observações,restricao_horario_comercio,Observações,toque_de_recolher,Observações,circulacao_apenas_com_autorizacao,Observações,antecipacao_vacinacao,Observações,desinfeccao_cidade,Observações,distribuicao_cesta_basica,Observações,campanhas_publicas_para_ficar_em_casa,Observações,obrigatoriedade_uso_mascaras_espacos_publicos,Observações,limite_pessoas_por_aglomeracao,Observações,aplicacao_de_multa,Observações,Início de testagem,Observações,observação
SP,Sao Paulo,3550308,643,data_comeco,6/22/2020,3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",NA,Igrejas continuam abertas mas missas e cultos são proibidos (https://g1.globo.com/sp/sao-paulo/noticia/2020/03/20/coronavirus-justica-de-sp-proibe-missas-e-cultos.ghtml),3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",NA,,3/17/2020,,4/8/2020,,3/24/2020,,n/a,,3/17/2020,,3/23/2020,,,https://g1.globo.com/sp/sao-paulo/noticia/2020/04/13/osasco-inaugura-tenda-de-higienizacao-para-combate-ao-coronavirus-em-estacao-da-cptm.ghtml,"08/04 Notícia jornal, https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/04/08/governo-do-rj-comeca-a-distribuir-cestas-basicas-para-populacao-carente-do-estado.ghtml; https://agenciabrasil.ebc.com.br/geral/noticia/2020-04/governo-do-rio-comecara-distribuir-cestas-basicas-nesta-semana; 27/04 Notícia no site, cesta básica para alunos da rede municipal: https://www.1746.rio/portal/servicos/informacao?t=9&a=878&conteudo=1802; 14/05 Notícia no site informando sobre distribuição de cestas básicas para comunidades quilombolas pela Secretaria de Estado de Desenvolvimento Social e Direitos Humanos (SEDSODH/RJ), com apoio do Ministério Público do Trabalho (MPT) e da Prefeitura de Cabo Frio <http://www.rj.gov.br/NoticiaDetalhe.aspx>.",,"1) 11/03 DECRETO Nº 46.966 DE 11 DE MARÇO DE 2020, medidas que podem ser adotadas, https://pge.rj.gov.br/comum/code/MostrarArquivo.php?C=MTAyMTk%2C ; 2) 13/03 Notícia oficial SES orientações, https://www.saude.rj.gov.br/noticias/2020/03/perguntas-e-respostas-sobre-o-novo-coronavirus ; 3) Site oficial coronavírus com material de campanhas,  https://coronavirus.rj.gov.br/",,4/5/2020,,3/22/2020,"Início dos decretos em 22 de março, tiveram várias medidas de extensão, última extensão foi para 31 de maio. Decreto nº 64.881, de 22/3/2020; Decreto nº 69.420, de 6/4/2020; Decreto nº 64.946, de 17/4/2020; Decreto nº 64.967, de 8/5/2020; Decreto nº 64.975, de 13/5/2020",4/5/2020,,18/05/2020,2 milhões de testes rápidos,
SP,Sao Paulo,3550308,643,data_fim,6/22/2020,6/28/2020,,6/28/2020,,6/28/2020,,6/28/2020,,6/28/2020,,6/28/2020,,NA,,6/28/2020,,6/28/2020,,NA,,5/31/2020,,n/a,,5/31/2020,,n/a,,Enquanto vigorar o estado de emergência,,5/31/2020,,,,4/15/2020,,3/30/2020,,NA,Enquanto perdurar a medida de quarentena esse decreto perdurará,5/31/2020,,NA,Enquanto perdurar a medida de quarentena esse decreto perdurará,,,
SP,Sao Paulo,3550308,643,fonte,6/22/2020,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,NA,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,https://www.saopaulo.sp.gov.br/coronavirus/quarentena/   DECRETO Nº 65.014 http://dobuscadireta.imprensaoficial.com.br/default.aspx?DataPublicacao=20200611&Caderno=DOE-I&NumeroPagina=1,,NA,,Decreto nº 59.283/2020,,Lei 13.987/2020 - não existe ato de São Paulo regulamentando a distribuição.,,Decreto nº 59.298/2020 (vide anexo único) - Dec 59.363/2020 prorroga prazos.,,n/a,,Decreto nº 59.283/2020,,http://www.saopaulo.sp.leg.br/blog/vacinacao-contra-influenza-comeca-em-todo-o-brasil/,,,,julho,,NA,,DECRETO Nº 64.959,,Decreto 64.967 (http://diariooficial.imprensaoficial.com.br/nav_v5/index.asp?c=4&e=20200509&p=1),,DECRETO Nº 64.959,,https://www.infomoney.com.br/economia/coronavirus-testagem-em-massa-comeca-em-sao-paulo-nesta-sexta/ e https://g1.globo.com/jornal-nacional/noticia/2020/05/15/governo-de-sao-paulo-anuncia-novo-programa-de-testagem-em-massa-da-populacao.ghtml,,
RJ,Rio de Janeiro,3304557,219,data_comeco,6/22/2020,3/21/2020,Fase 3 em 2 de julho (creches e 5 e 9 ano escolar). Fase 4 em 17 de julho (pre escolas e 1 e 2 ano). Fase 5 1 de agosto (3 e 4 ano). Fase 6 16 de agosto (escolas e universidades integralmente). ,3/21/2020,Fase 3 em 2 de julho (creches e 5 e 9 ano escolar). Fase 4 em 17 de julho (pre escolas e 1 e 2 ano). Fase 5 1 de agosto (3 e 4 ano). Fase 6 16 de agosto (escolas e universidades integralmente). ,3/21/2020,Fase 6 16 de agosto (escolas e universidades integralmente). ,3/21/2020,"Fase 1 (2 a 17 de junho): lojas de moveis e decoração e concessionárias. Fase 2 (17 de junho): shoppings entre 12h e 20h, com restrições de movimentação e vagas limitadas no estacionamento e
serviços de alimentação estão liberados ( sistema drive thru e take away). Fase 3 (2 de julho): todos os comércios, com restrição de circulação; bares e restaurantes abertos, com 50% da capacidade
academias abertas com agendamento e distanciamento; luta e dança, sem contato físico; atividades de crossfit com restrições a alguns equipamentos. Fase 5 (1 de agosto): diminuição de restrições de capacidade em quase todos setores (bares, restaurantes, estádios, cinemas, etc). ",3/21/2020,"Fase 1 (2 de junho): atividades esportivas nos calçadões; atividades esportivas em centros de treinamento; atividade aquática individual no mar (como natação ou surfe). Fase 3 (2 de julho): praias e parques abertos, sem aluguel de cadeira e barraca; áreas de lazer; atividades culturais em espaço aberto, sem aglomeração. Fase 4 (17 de julho): pontos turísticos com um terço da capacidade; atividade em espaço cultural fechado, com restrição de capacidade. Fase 5 (1 de agosto): praias e parques abertos, sem aglomeração. ",3/21/2020,,NA,,3/21/2020,,3/21/2020,,NA,,,,3/21/2020,,4/6/2020,,,,,,3/23/2020,,3/16/2020,,3/27/2020,,3/17/2020,,4/23/2020,,3/27/2020,,3/26/2020,,,12 de maio (https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/05/12/prefeitura-do-rio-regulamenta-testagem-rapida-do-coronavirus-em-farmacias-e-clinicas-da-cidade.ghtml),
RJ,Rio de Janeiro,3304557,219,data_fim,6/22/2020,7/2/2020,,7/2/2020,,8/16/2020,,6/2/2020,,6/2/2020,,6/5/2020,Transporte publico voltou a funciona tanto dentro da cidade quanto municipal e estadual. Mas com 50% de capacidade e a obrigação do uso de máscara. ,NA,Cultos presenciais continuam proibidos (https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/01/justica-mantem-proibicao-de-cultos-presenciais-no-rio.ghtml),7/2/2020,,6/5/2020,Transporte publico voltou a funciona tanto dentro da cidade quanto municipal e estadual. Mas com 50% de capacidade e a obrigação do uso de máscara. ,NA,,,,,,,,,,,,5/22/2020,,,,,,,,,,,,,,,29 de abril (https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/04/29/rj-recebe-7percent-dos-12-milhao-testes-para-covid-19-adquiridos.ghtml),
RJ,Rio de Janeiro,3304557,219,fonte,6/22/2020,Decreto 47489 (https://www.legisweb.com.br/legislacao/?id=396399)  https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/03/prefeitura-do-rio-mantem-escolas-fechadas-por-mais-um-mes-mas-libera-consultas-e-exames-marcados.ghtml ,,Decreto 47489 (https://www.legisweb.com.br/legislacao/?id=396399)  https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/03/prefeitura-do-rio-mantem-escolas-fechadas-por-mais-um-mes-mas-libera-consultas-e-exames-marcados.ghtml ,,Decreto 47489 (https://www.legisweb.com.br/legislacao/?id=396399)  https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/03/prefeitura-do-rio-mantem-escolas-fechadas-por-mais-um-mes-mas-libera-consultas-e-exames-marcados.ghtml ,,Decreto 47489 (https://www.legisweb.com.br/legislacao/?id=396399) https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/03/prefeitura-do-rio-mantem-escolas-fechadas-por-mais-um-mes-mas-libera-consultas-e-exames-marcados.ghtml,,Decreto 47489 (https://www.legisweb.com.br/legislacao/?id=396399) https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/03/prefeitura-do-rio-mantem-escolas-fechadas-por-mais-um-mes-mas-libera-consultas-e-exames-marcados.ghtml,,Decreto 47108:https://www.legisweb.com.br/legislacao/?id=396641,,NA,Estado do RJ suspende lei federl. https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/03/27/justica-federal-no-rj-suspende-trechos-de-decreto-presidencial-que-prEstadoeve-atividades-religiosas-e-lotericas-como-servicos-essenciais.ghtml TRF 2 suspende decisão https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/03/31/trf2-suspende-decisao-de-primeira-instancia-e-retoma-igrejas-e-lotericas-como-servicos-essenciais.ghtml,Decreto 47108:https://www.legisweb.com.br/legislacao/?id=396641,,Decreto 47108:https://www.legisweb.com.br/legislacao/?id=396641,,NA,,"13/03 Data citada pelo documento ""Guidelines and measures Taken by Rio de Janeiro City Hall to avoid the spread of Covid-19"" compartilhado pela Ana no grupo, porém foi só em 17/03 que fala em campanha para ficar em casa ; 17/03: FAQ oficial https://riocontraocorona.rio/noticias/coronavirus-covid-19-perguntas-e-respostas/ ; 25/03 Prefeito cita determinação para ficar em casa. Desconheço a determinação, e ainda não encontrei campanha, https://riocontraocorona.rio/noticias/nota-de-esclarecimento-prefeitura-nega-reabertura-de-comercio-na-cidade-e-reforca-pedido-de-isolamento-social/ ; 14/04 Notícia oficial drone falante ficar em casa, https://riocontraocorona.rio/noticias/prefeitura-do-rio-usara-drone-falante-para-alertar-sobre-aglomeracoes-e-importancia-de-ficar-em-casa/ ; ",,"1) A apresentação do PMRJ diz que as aulas foram suspensas em 13/03, com manutenção da merenda, mas não encontro o decreto. Será que foi o DECRETO RIO Nº 47247 DE 13 DE MARÇO DE 2020, Art.2º?  http://smaonline.rio.rj.gov.br/legis_consulta/61031DECRETO%2047247_2020.pdf ; 2) DECRETO RIO Nº 47282 DE 21 DE MARÇO DE 2020, Art.1º, III, h, http://smaonline.rio.rj.gov.br/legis_consulta/61095DECRETO%2047282_2020.pdf ; 3) DECRETO RIO Nº 47301 DE 26 DE MARÇO DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61140DECRETO%2047301_2020.pdf ; 4) DECRETO RIO Nº 47329 DE 27 DE MARÇO DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61176DECRETO%2047329_2020.pdf ; 5) DECRETO RIO Nº 47357 DE 08 DE ABRIL DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61256DECRETO%2047357_2020.pdf ; 6) RESOLUÇÃO SME N.º 195, DE 31 DE MARÇO DE 2020, http://doweb.rio.rj.gov.br/apifront/portal/edicoes/imprimir_materia/651331/4502",,"1) DECRETO RIO Nº 47338 DE 05 DE ABRIL DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61217DECRETO%2047338_2020.pdf ; 2) DECRETO RIO Nº 47359 DE 12 DE ABRIL DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61259DECRETO%2047359_2020.pdf ; 3) RESOLUÇÃO “N” SMDEI Nº 058 DE 19 DE MARÇO DE 2020 restringe feiras livres, http://doweb.rio.rj.gov.br/portal/edicoes/download/4483",,,,,,"1) Chamada no DOM para vacinação, http://doweb.rio.rj.gov.br/portal/edicoes/download/4483 ; 2) SMTR RESOLUÇÃO Nº 3257 DE 23 DE MARÇO DE 2020, 40% desconto taxi idoso para vacinação, http://doweb.rio.rj.gov.br/portal/edicoes/download/4486 ; 03/04 Notícia oficial mais vacinas, https://riocontraocorona.rio/noticias/prefeitura-anuncia-265-mil-novas-doses-de-vacina-contra-a-gripe-a-partir-de-terca-feira-07-04/ ; ",,"1) 16/03 SMT Resolução nº3243 DE 16 DE MARÇO DE 2020 desinfecção transporte público, http://doweb.rio.rj.gov.br/portal/visualizacoes/pdf/4474#/p:34/e:4474?find=RESOLU%C3%87%C3%83O%20N%C2%BA%203245 ; 23/03 Notícia oficial COMLURB, empresa municipal de limpeza urbana, https://riocontraocorona.rio/noticias/comlurb-fara-limpeza-com-detergente-em-locais-com-maior-risco-de-contagio/ ; 24/03 Notícia oficial início COMLURB https://riocontraocorona.rio/noticias/comlurb-inicia-higienizacao-de-areas-onde-ha-maior-circulacao-de-pessoas/ ; 18/04 Notícia oficial COMLURB, https://riocontraocorona.rio/noticias/comlurb-reforca-operacao-especial-de-higienizacao-na-cruzada-sao-sebastiao-e-mais-30-comunidades-neste-sabado/ ;",,"19/03: Notícia oficial cita estoque de cestas básicas para população em geral, mas não cita norma nem efetiva distribuição, https://riocontraocorona.rio/sem-categoria/prefeitura-divulga-novas-acoes-de-combate-a-disseminacao-do-coronavirus/ ; 20/03 Notícia oficial cita compra de 20mil cestas básicas, https://riocontraocorona.rio/noticias/coronavirus-veja-aqui-as-medidas-adotadas-pela-prefeitura-nesta-sexta-feira-para-conter-a-pandemia-na-cidade/ ; 25/03 Notícia oficial 20mil serão doadas, ainda sem data, https://riocontraocorona.rio/noticias/prefeitura-pede-foco-no-isolamento-social-nos-proximos-15-dias/ ; 27/03 Notícia oficial início distribuição, https://riocontraocorona.rio/noticias/prefeitura-comeca-a-distribuir-cestas-basicas-para-trabalhadores-que-mais-sofrem-com-a-crise-economica/ ; 03/04 Mais cestas básicas, https://riocontraocorona.rio/noticias/prefeitura-distribui-cestas-basicas-para-profissionais-da-rede-de-cinemas-e-cria-projetos-audiovisuais/ ; 09/04 Notícia oficial cesta básica por cartão, https://riocontraocorona.rio/noticias/banco-do-brasil-comeca-nesta-5a-feira-09-04-a-distribuir-cartao-para-familias-dos-programas-sociais-terem-cestas-basicas/",,"13/03 Data citada pelo documento ""Guidelines and measures Taken by Rio de Janeiro City Hall to avoid the spread of Covid-19"" compartilhado pela Ana no grupo, porém foi só em 17/03 que fala em campanha para ficar em casa ; 17/03: FAQ oficial https://riocontraocorona.rio/noticias/coronavirus-covid-19-perguntas-e-respostas/ ; 25/03 Prefeito cita determinação para ficar em casa. Desconheço a determinação, e ainda não encontrei campanha, https://riocontraocorona.rio/noticias/nota-de-esclarecimento-prefeitura-nega-reabertura-de-comercio-na-cidade-e-reforca-pedido-de-isolamento-social/ ; 14/04 Notícia oficial drone falante ficar em casa, https://riocontraocorona.rio/noticias/prefeitura-do-rio-usara-drone-falante-para-alertar-sobre-aglomeracoes-e-importancia-de-ficar-em-casa/ ; ",,"1) DECRETO RIO Nº 47375 DE 18 DE ABRIL DE 2020, http://doweb.rio.rj.gov.br/portal/edicoes/download/4527",,"1) DECRETO RIO Nº 47328 DE 27 DE MARÇO DE 2020, http://smaonline.rio.rj.gov.br/legis_consulta/61175DECRETO%2047328_2020.pdf",,"1) RESOLUÇÃO SMF Nº 3138 DE 26 DE MARÇO DE 2020 prevê multa e cassação de alvará comércio não essencial aberto, http://smaonline.rio.rj.gov.br/legis_consulta/61157(RESOLU%C3%87%C3%83O%20SMF%203138_2020).pdf ; 2) DECRETO RIO Nº 47375 DE 18 DE ABRIL DE 2020, multa por não usar máscara, http://doweb.rio.rj.gov.br/portal/edicoes/download/4527 ; 3) 10/04 Notícia oficial multas ônibus que não cumprem regras, https://riocontraocorona.rio/noticias/em-20-dias-de-acoes-prefeitura-aplica-mais-de-230-multas-aos-consorcios-de-onibus/",,,,Principais fontes de informação: http://smaonline.rio.rj.gov.br/conlegis/ ; https://riocontraocorona.rio/atos-normativos/
AM,Manaus,1302603,127,data_comeco,6/21/2020,3/18/2020,,4/30/2020,,3/16/2020,,3/25/2020,,3/22/2020,,NA,,NA,,3/25/2020,,3/20/2020,,NA,,NA,,3/31/2020,,NA,,NA,,NA,,3/23/2020,,3/18/2020,,NA,,4/16/2020,,4/15/2020,,3/19/2020,,NA,,NA,,- Decreto sobre Teletrabalho na ADM pública vigente de 25-03-2020 -> 25-04-2020. https://leismunicipais.com.br/a/am/m/manaus/decreto/2020/479/4789/decreto-n-4789-2020-dispoe-sobre-o-regime-excepcional-de-teletrabalho-aos-agentes-publicos-no-ambito-da-administracao-publica-municipal-e-da-outras-providencias
AM,Manaus,1302603,127,data_fim,6/21/2020,NA,Uma coisa que achei interessante foi que Manaus fez uma pesquisa com alunos e responsáveis para saber se eles se achavam preparados para voltar às aulas presenciais.,NA,,NA,,5/31/2020,,NA,,NA,,NA,,6/30/2020,,5/31/2020,,NA,,NA,,NA,,NA,,NA,,NA,,5/22/2020,,NA,,NA,,NA,,NA,,4/30/2020,,NA,,NA,,"1) Suspensão de aulas municipais: PORTARIA Nº 0380/2020-SEMED/GS instituiu o programa ""Aula em Casa"", para continuidade do ano letivo não-presencial; 2) Limite de pessoas por aglomeração: apenas encontrei sobre o limite às aglomerações em verlórios (http://www.manaus.am.gov.br/noticia/prefeitura-medida-restricao-velorios-sepultamentos/"
AM,Manaus,1302603,127,fonte,6/21/2020,http://semed.manaus.am.gov.br/prefeito-de-manaus-antecipa-recesso-escolar-e-anuncia-novas-medidas-de-prevencao-a-covid-19/; PORTARIA Nº 0380/2020-SEMED/GS (http://dom.manaus.am.gov.br/pdf/2020/marco/DOM%204810%2031.03.2020%20CAD%201.pdf),,"Decreto nº 42.145/2020 (https://www.legisweb.com.br/legislacao/?id=392237); Decreto Nº 42278 de 13/05/2020 (https://www.normasbrasil.com.br/norma/decreto-42278-2020-am_395344.html); Medida prorrogada pelo DECRETO N.° 42.330, DE 28 DE MAIO DE 2020 (http://www.amazonas.am.gov.br/content/uploads/2020/05/poder_executivo_SECAO_I_28-05-2020.pdf)",Medida estadual.,"Decreto nº 42.145/2020 (https://www.legisweb.com.br/legislacao/?id=392237); Decreto Nº 42278 de 13/05/2020 (https://www.normasbrasil.com.br/norma/decreto-42278-2020-am_395344.html); Medida prorrogada pelo DECRETO N.° 42.330, DE 28 DE MAIO DE 2020 (http://www.amazonas.am.gov.br/content/uploads/2020/05/poder_executivo_SECAO_I_28-05-2020.pdf)",Medida estadual.,http://www.manaus.am.gov.br/noticia/nao-considero-oportuno-diz-prefeito-sobre-reabertura-de-comercios-nao-essenciais/; https://www.facebook.com/prefeiturademanaus/photos/a.10150160649068985/10157604636868985/?type=3&theater,"Reabertura do comércio aconteceu seguinto o DECRETO N.° 42.330, DE 28 DE MAIO DE 2020 (http://www.amazonas.am.gov.br/content/uploads/2020/05/poder_executivo_SECAO_I_28-05-2020.pdf) ",http://www.manaus.am.gov.br/noticia/parques-ponta-negra-interdicoes/,Interdição de parques e de Ponta Negra continuam mesmo com a reabertura do comércio.,NA,"Apesar de não ter decreto reduzindo o transporte público, é interessante ver que os funcionários tiveram as jornadas reduzidas em 50%, assim como os salários. Medidas adotadas pela secretaria do transporte e pelo sindicato dos trabalhadores rodoviários (https://amazonasnoticias.com.br/trabalhadores-do-transporte-publico-de-manaus-tem-50-da-jornada-de-trabalho-e-salarios-reduzidos/)",NA,"Há decretos estaduais, mas nada municipal.","DECRETO Nº 4.790, DE 25 DE MARÇO DE 2020 - https://leismunicipais.com.br/a/am/m/manaus/decreto/2020/479/4790/decreto-n-4790-2020-revoga-as-licencas-e-autorizacoes-de-eventos-emitidas-pelos-orgaos-e-entidades-da-administracao-publica-municipal-e-da-outras-providencias",,Decreto 42.098;42.185/2020; Medida prorrogada pelo Decreto Nº 42278 de 13/05/2020 (https://www.normasbrasil.com.br/norma/decreto-42278-2020-am_395344.html),,NA,,NA,,"Lei Nº 2.595, de 31 de março de 2020 (https://leismunicipais.com.br/a/am/m/manaus/lei-ordinaria/2020/260/2595/lei-ordinaria-n-2595-2020-institui-o-programa-nossa-merenda-no-ambito-do-municipio-de-manaus-como-medida-emergencial-de-enfrentamento-a-pandemia-da-covid-19-e-da-outras-providencias?q=aulas); http://semed.manaus.am.gov.br/mais-de-58-mil-alunos-da-rede-municipal-comecam-a-receber-auxilio-do-nossa-merenda-na-segunda-feira-8-6/","Auxilio começará a ser distribuído na segunda, dia 8 de junho.",NA,,NA,,NA,,https://semsa.manaus.am.gov.br/noticia/prefeito-determina-que-idosos-sejam-vacinados-contra-a-influenza-em-suas-casas/,,https://semsa.manaus.am.gov.br/noticia/onibus-sao-vistoriados-para-garantir-limpeza-e-medidas-de-prevencao-a-covid-19/; Decreto nº 42.193/2020; http://www.manaus.am.gov.br/noticia/mais-de-dez-espacos-publicos-recebem-acao-de-higienizacao-em-manaus/,,NA,,https://www.facebook.com/prefeiturademanaus/photos/a.10150160649068985/10157418895713985/?type=3&theater; https://www.facebook.com/prefeiturademanaus/photos/pcb.10157645496493985/10157645493328985/?type=3&theater,,Decreto 4.806/2020,,Decreto 42.185/2020,,NA,,NA,"Ainda não teve inicio da testagem em massa, mas kits já foram comprados e já estão testando profissionais de saúde (https://portalunico.com/prefeitura-de-manaus-compra-25-mil-testes-rapidos-para-exames-do-coronavirus/; https://www.dw.com/pt-br/drive-thru-contra-covid-19-em-manaus/av-53338935)",
CE,Fortaleza,2304400,119,data_comeco,4/19/2020,3/17/2020,,3/16/2020,,3/16/2020,,3/20/2020,,,,3/22/2020,,3/17/2020,,3/17/2020,,4/23/2020,,,,,,3/17/2020,,,,,,,,4/14/2020,,,,,,,,,,,,,,,,
