date,state,city,city_ibge_code,place_type,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
4/17/20,AC,Acrelândia,1200013,city,12,0,TRUE,15256,78.65758,
4/17/20,AC,Bujari,1200138,city,1,0,TRUE,10266,9.74089,
4/17/20,AC,Cruzeiro do Sul,1200203,city,2,0,TRUE,88376,2.26306,
4/17/20,AC,Plácido de Castro,1200385,city,14,1,TRUE,19761,70.84662,0.0714
4/17/20,AC,Porto Acre,1200807,city,1,0,TRUE,18504,5.40424,
4/17/20,AC,Rio Branco,1200401,city,105,4,TRUE,407319,25.77832,0.0381
4/17/20,AL,Boca da Mata,2701001,city,1,0,TRUE,27281,3.66555,
4/17/20,AL,Maceió,2704302,city,90,5,TRUE,1018948,8.83264,0.0556
4/17/20,AL,Marechal Deodoro,2704708,city,4,1,TRUE,51901,7.70698,0.25
4/17/20,AL,Palmeira dos √çndios,2706307,city,1,0,TRUE,73218,1.36578,
4/17/20,AL,Porto Real do Colégio,2707503,city,1,0,TRUE,20066,4.98355,
4/17/20,AL,Rio Largo,2707701,city,4,0,TRUE,75120,5.32481,
4/17/20,AL,Satuba,2708907,city,1,0,TRUE,13828,7.2317,
4/17/20,AL,União dos Palmares,2709301,city,1,0,TRUE,65611,1.52413,
4/17/20,AM,Anamã,1300086,city,1,0,TRUE,13614,7.34538,
4/17/20,AM,Anori,1300102,city,4,0,TRUE,21010,19.03855,
4/17/20,AM,Boca do Acre,1300706,city,1,0,TRUE,34308,2.91477,
4/17/20,AM,Carauari,1301001,city,1,1,TRUE,28294,3.53432,1
4/17/20,AM,Careiro,1301100,city,6,1,TRUE,37869,15.84409,0.1667
4/17/20,AM,Careiro da Várzea,1301159,city,3,0,TRUE,30225,9.92556,
4/17/20,AM,Coari,1301209,city,2,0,TRUE,85097,2.35026,
4/17/20,AM,Iranduba,1301852,city,18,3,TRUE,48296,37.27017,0.1667
4/17/20,AM,Itacoatiara,1301902,city,17,1,TRUE,101337,16.77571,0.0588
4/17/20,AM,Jutaí,1302306,city,1,0,TRUE,14317,6.9847,
4/17/20,AM,Lábrea,1302405,city,2,0,TRUE,46069,4.34131,
4/17/20,AM,Manacapuru,1302504,city,159,6,TRUE,97377,163.28291,0.0377
4/17/20,AM,Manaus,1302603,city,1531,127,TRUE,2182763,70.14046,0.083
4/17/20,AM,Manicoré,1302702,city,1,1,TRUE,55751,1.79369,1
4/17/20,AM,Maués,1302900,city,3,0,TRUE,63905,4.69447,
4/17/20,AM,Novo Airão,1303205,city,2,1,TRUE,19454,10.28066,0.5
4/17/20,AM,Parintins,1303403,city,11,3,TRUE,114273,9.62607,0.2727
4/17/20,AM,Presidente Figueiredo,1303536,city,6,0,TRUE,36279,16.53849,
4/17/20,AM,Santo Antônio do Içá,1303700,city,11,0,TRUE,21602,50.92121,
4/17/20,AM,São Paulo de Olivença,1303908,city,11,0,TRUE,39299,27.99053,
4/17/20,AM,Tabatinga,1304062,city,3,0,TRUE,65844,4.55622,
4/17/20,AM,Tefé,1304203,city,3,1,TRUE,59849,5.01262,0.3333
4/17/20,AM,Tonantins,1304237,city,12,0,TRUE,18755,63.98294,
4/17/20,AP,Laranjal do Jari,1600279,city,2,0,TRUE,50410,3.96747,
4/17/20,AP,Macapá,1600303,city,312,8,TRUE,503327,61.98753,0.0256
4/17/20,AP,Mazagão,1600402,city,2,0,TRUE,21632,9.24556,
4/17/20,AP,Oiapoque,1600501,city,5,0,TRUE,27270,18.33517,
4/17/20,AP,Porto Grande,1600535,city,1,0,TRUE,21971,4.55145,
4/17/20,AP,Santana,1600600,city,51,2,TRUE,121364,42.02235,0.0392
4/17/20,AP,Vitória do Jari,1600808,city,2,0,TRUE,15931,12.55414,
4/17/20,BA,Abaíra,2900108,city,1,0,TRUE,8739,11.44296,
4/17/20,BA,Adustina,2900355,city,1,1,TRUE,17040,5.86854,1
4/17/20,BA,Aiquara,2900603,city,1,0,TRUE,4446,22.49213,
4/17/20,BA,Alagoinhas,2900702,city,5,0,TRUE,151596,3.29824,
4/17/20,BA,Amélia Rodrigues,2901106,city,1,0,TRUE,25102,3.98375,
4/17/20,BA,Araci,2902104,city,1,1,TRUE,54379,1.83895,1
4/17/20,BA,Aurelino Leal,2902401,city,1,0,TRUE,11531,8.67227,
4/17/20,BA,Barra,2902708,city,2,0,TRUE,53578,3.73288,
4/17/20,BA,Barra do Choça,2902906,city,1,0,TRUE,31603,3.16426,
4/17/20,BA,Barra do Rocha,2903102,city,3,0,TRUE,5714,52.50263,
4/17/20,BA,Barreiras,2903201,city,1,0,TRUE,155439,0.64334,
4/17/20,BA,Belmonte,2903409,city,2,1,TRUE,23328,8.57339,0.5
4/17/20,BA,Bom Jesus da Lapa,2903904,city,0,0,TRUE,69148,,
4/17/20,BA,Brumado,2904605,city,8,0,TRUE,67195,11.90565,
4/17/20,BA,Buerarema,2904704,city,1,0,TRUE,18349,5.44989,
4/17/20,BA,Cachoeira,2904902,city,1,0,TRUE,33470,2.98775,
4/17/20,BA,Camacan,2905602,city,1,0,TRUE,31988,3.12617,
4/17/20,BA,Camaçari,2905701,city,18,0,TRUE,299132,6.01741,
4/17/20,BA,Campo Formoso,2906006,city,1,0,TRUE,71206,1.40438,
4/17/20,BA,Canarana,2906204,city,1,0,TRUE,26176,3.82029,
4/17/20,BA,Canavieiras,2906303,city,3,0,TRUE,31099,9.64661,
4/17/20,BA,Candeias,2906501,city,1,0,TRUE,87076,1.14842,
4/17/20,BA,Cansanção,2906808,city,1,0,TRUE,34834,2.87076,
4/17/20,BA,Capim Grosso,2906873,city,1,0,TRUE,30662,3.26137,
4/17/20,BA,Catu,2907509,city,4,0,TRUE,54704,7.31208,
4/17/20,BA,Coaraci,2908002,city,2,0,TRUE,16993,11.76955,
4/17/20,BA,Conceição do Coité,2908408,city,2,0,TRUE,66612,3.00246,
4/17/20,BA,Conceição do Jacuípe,2908507,city,1,0,TRUE,33153,3.01632,
4/17/20,BA,Conde,2908606,city,1,0,TRUE,25837,3.87042,
4/17/20,BA,Curaçá,2909901,city,1,0,TRUE,34700,2.88184,
4/17/20,BA,Dias d'Ávila,2910057,city,1,0,TRUE,81089,1.23321,
4/17/20,BA,Euclides da Cunha,2910701,city,1,0,TRUE,60585,1.65057,
4/17/20,BA,Eunápolis,2910727,city,4,0,TRUE,113380,3.52796,
4/17/20,BA,Feira de Santana,2910800,city,52,0,TRUE,614872,8.45704,
4/17/20,BA,Floresta Azul,2911006,city,1,0,TRUE,10629,9.40822,
4/17/20,BA,Gandu,2911204,city,1,0,TRUE,32403,3.08613,
4/17/20,BA,Gongogi,2911501,city,2,1,TRUE,7128,28.05836,0.5
4/17/20,BA,Ibirataia,2912905,city,4,0,TRUE,15312,26.1233,
4/17/20,BA,Ibotirama,2913200,city,1,0,TRUE,26927,3.71374,
4/17/20,BA,Ilhéus,2913606,city,60,2,TRUE,162327,36.96243,0.0333
4/17/20,BA,Ipiaú,2913903,city,15,0,TRUE,45873,32.69897,
4/17/20,BA,Irecê,2914604,city,1,0,TRUE,72967,1.37048,
4/17/20,BA,Itabuna,2914802,city,32,0,TRUE,213223,15.00776,
4/17/20,BA,Itagi,2915106,city,1,0,TRUE,12351,8.09651,
4/17/20,BA,Itagibá,2915205,city,4,1,TRUE,14579,27.43672,0.25
4/17/20,BA,Itajuípe,2915502,city,6,0,TRUE,20491,29.28115,
4/17/20,BA,Itamaraju,2915601,city,1,0,TRUE,64486,1.55072,
4/17/20,BA,Itapé,2916203,city,1,1,TRUE,8761,11.41422,1
4/17/20,BA,Itapebi,2916302,city,5,0,TRUE,10259,48.73769,
4/17/20,BA,Itapetinga,2916401,city,5,1,TRUE,76147,6.56625,0.2
4/17/20,BA,Itarantim,2916807,city,1,0,TRUE,19747,5.06406,
4/17/20,BA,Itatim,2916856,city,1,0,TRUE,14487,6.90274,
4/17/20,BA,Itororó,2917102,city,4,0,TRUE,20382,19.62516,
4/17/20,BA,Ituberá,2917300,city,1,0,TRUE,28602,3.49626,
4/17/20,BA,Jaguaquara,2917607,city,2,0,TRUE,54423,3.67492,
4/17/20,BA,Jequié,2918001,city,8,0,TRUE,155966,5.12932,
4/17/20,BA,Juazeiro,2918407,city,5,1,TRUE,216707,2.30726,0.2
4/17/20,BA,Lauro de Freitas,2919207,city,27,3,TRUE,198440,13.60613,0.1111
4/17/20,BA,Luís Eduardo Magalhães,2919553,city,2,0,TRUE,87519,2.28522,
4/17/20,BA,Medeiros Neto,2921104,city,1,0,TRUE,22688,4.40762,
4/17/20,BA,Nova Soure,2922904,city,1,0,TRUE,26947,3.71099,
4/17/20,BA,Ouriçangas,2923308,city,0,0,TRUE,8564,,
4/17/20,BA,Palmeiras,2923506,city,1,0,TRUE,9019,11.0877,
4/17/20,BA,Paramirim,2923605,city,1,0,TRUE,21607,4.62813,
4/17/20,BA,Piripá,2924702,city,1,0,TRUE,10707,9.33968,
4/17/20,BA,Pojuca,2925204,city,1,0,TRUE,39519,2.53043,
4/17/20,BA,Porto Seguro,2925303,city,13,0,TRUE,148686,8.74326,
4/17/20,BA,Prado,2925501,city,4,0,TRUE,28174,14.19749,
4/17/20,BA,Rio do Pires,2926905,city,2,0,TRUE,11655,17.16002,
4/17/20,BA,Salvador,2927408,city,643,18,TRUE,2872347,22.38587,0.028
4/17/20,BA,Santa Cruz Cabrália,2927705,city,6,0,TRUE,27778,21.59983,
4/17/20,BA,Santa Luzia,2928059,city,1,0,TRUE,12597,7.9384,
4/17/20,BA,Santa Maria da Vitória,2928109,city,1,0,TRUE,39845,2.50973,
4/17/20,BA,Santa Teresinha,2928505,city,2,0,TRUE,10405,19.22153,
4/17/20,BA,São Domingos,2928950,city,1,0,TRUE,9058,11.03996,
4/17/20,BA,São Francisco do Conde,2929206,city,2,0,TRUE,39802,5.02487,
4/17/20,BA,Serra do Ramalho,2930154,city,1,0,TRUE,31472,3.17743,
4/17/20,BA,Serrinha,2930501,city,4,0,TRUE,80861,4.94676,
4/17/20,BA,Sim√µes Filho,2930709,city,5,0,TRUE,134377,3.72087,
4/17/20,BA,Taperoá,2931202,city,1,0,TRUE,21074,4.74518,
4/17/20,BA,Teixeira de Freitas,2931350,city,7,0,TRUE,160487,4.36172,
4/17/20,BA,Ubatã,2932309,city,4,0,TRUE,27035,14.79564,
4/17/20,BA,Una,2932507,city,1,0,TRUE,19002,5.2626,
4/17/20,BA,Uruçuca,2932705,city,12,2,TRUE,20519,58.48238,0.1667
4/17/20,BA,Utinga,2932804,city,1,1,TRUE,19178,5.21431,1
4/17/20,BA,Valença,2932903,city,1,0,TRUE,96562,1.0356,
4/17/20,BA,Valente,2933000,city,1,0,TRUE,28473,3.5121,
4/17/20,BA,Vera Cruz,2933208,city,1,0,TRUE,43223,2.31358,
4/17/20,BA,Vitória da Conquista,2933307,city,18,1,TRUE,338480,5.31789,0.0556
4/17/20,CE,Acaraú,2300200,city,1,0,TRUE,62641,1.5964,
4/17/20,CE,Acopiara,2300309,city,2,0,TRUE,54270,3.68528,
4/17/20,CE,Amontada,2300754,city,1,0,TRUE,43452,2.30139,
4/17/20,CE,Aquiraz,2301000,city,38,0,TRUE,80271,47.33964,
4/17/20,CE,Aracati,2301109,city,4,1,TRUE,74547,5.36574,0.25
4/17/20,CE,Aracoiaba,2301208,city,1,0,TRUE,26469,3.778,
4/17/20,CE,Barreira,2301950,city,1,0,TRUE,22425,4.45931,
4/17/20,CE,Barroquinha,2302057,city,1,0,TRUE,15017,6.65912,
4/17/20,CE,Baturité,2302107,city,2,0,TRUE,35750,5.59441,
4/17/20,CE,Beberibe,2302206,city,5,0,TRUE,53573,9.33306,
